image_name,success_attempt,status,total_time_seconds
frame_00189.png,1,success,102.3474
frame_00190.png,1,success,98.9782
frame_00191.png,1,success,99.6482
frame_00192.png,1,success,95.9996
frame_00194.png,1,success,95.8477
frame_00193.png,1,success,95.7963
frame_00196.png,1,success,99.5806
frame_00195.png,1,success,103.6863
frame_00197.png,1,success,91.7389
frame_00198.png,1,success,91.6119
frame_00200.png,1,success,88.1331
frame_00199.png,1,success,95.4801
frame_00201.png,1,success,96.1405
frame_00202.png,1,success,95.4054
frame_00203.png,1,success,95.3502
frame_00206.png,1,success,87.7781
frame_00205.png,1,success,87.8098
frame_00204.png,1,success,99.2757
frame_00207.png,1,success,91.7483
frame_00208.png,1,success,99.7339
frame_00209.png,1,success,99.7317
frame_00211.png,1,success,103.2027
frame_00210.png,1,success,103.7572
frame_00212.png,1,success,103.3542
frame_00214.png,1,success,99.2523
frame_00213.png,1,success,99.3383
frame_00215.png,1,success,103.3433
frame_00217.png,1,success,88.1583
frame_00216.png,1,success,95.608
frame_00220.png,1,success,82.281
frame_00218.png,1,success,87.7963
frame_00219.png,1,success,91.6022
frame_00222.png,1,success,75.5226
frame_00221.png,1,success,79.7843
frame_00223.png,1,success,75.4594
frame_00224.png,1,success,75.9334
frame_00225.png,1,success,78.8784
frame_00226.png,1,success,75.5582
frame_00228.png,1,success,78.8593
frame_00229.png,1,success,75.8781
frame_00227.png,1,success,75.941
frame_00231.png,1,success,80.1175
frame_00230.png,1,success,75.4241
frame_00232.png,1,success,78.795
frame_00234.png,1,success,78.6273
frame_00233.png,1,success,76.2084
frame_00235.png,1,success,75.9541
frame_00236.png,1,success,75.7934
frame_00237.png,1,success,79.3343
frame_00238.png,1,success,82.3417
frame_00239.png,1,success,85.8123
frame_00240.png,1,success,87.7223
frame_00242.png,1,success,91.8587
frame_00241.png,1,success,87.8382
frame_00243.png,1,success,91.7185
frame_00245.png,1,success,95.8762
frame_00244.png,1,success,91.6929
frame_00246.png,1,success,95.6697
frame_00249.png,1,success,103.0151
frame_00248.png,1,success,107.1912
frame_00247.png,1,success,99.4584
frame_00251.png,1,success,91.5205
frame_00250.png,1,success,95.4658
frame_00252.png,1,success,95.7637
frame_00255.png,1,success,91.3642
frame_00254.png,1,success,95.4608
frame_00253.png,1,success,95.5497
frame_00256.png,1,success,103.7668
frame_00257.png,1,success,99.6373
frame_00258.png,1,success,95.1923
frame_00261.png,1,success,95.4554
frame_00259.png,1,success,99.3212
frame_00260.png,1,success,95.751
frame_00264.png,1,success,95.5614
frame_00263.png,1,success,95.4851
frame_00262.png,1,success,92.4503
frame_00266.png,1,success,106.3999
frame_00265.png,1,success,103.7126
frame_00267.png,1,success,107.7891
frame_00269.png,1,success,107.6516
frame_00270.png,1,success,95.7383
frame_00268.png,1,success,110.8903
frame_00271.png,1,success,95.4699
frame_00272.png,1,success,95.4748
frame_00273.png,1,success,91.5985
frame_00274.png,1,success,91.4972
frame_00276.png,1,success,99.4195
frame_00275.png,1,success,91.7183
frame_00279.png,1,success,99.0439
frame_00278.png,1,success,99.4082
frame_00277.png,1,success,103.0382
frame_00282.png,1,success,91.9722
frame_00280.png,1,success,99.2279
frame_00281.png,1,success,95.6702
frame_00283.png,1,success,95.4608
frame_00284.png,1,success,92.0418
frame_00285.png,1,success,95.5964
frame_00288.png,1,success,99.4484
frame_00286.png,1,success,99.7378
frame_00287.png,1,success,99.3764
frame_00289.png,1,success,111.0525
frame_00290.png,1,success,107.0749
frame_00291.png,1,success,107.0374
frame_00293.png,1,success,106.5755
frame_00292.png,1,success,102.1016
frame_00294.png,1,success,106.7488
frame_00296.png,1,success,87.9281
frame_00295.png,1,success,95.2957
frame_00297.png,1,success,87.9562
frame_00298.png,1,success,87.8912
frame_00299.png,1,success,91.989
frame_00300.png,1,success,111.5059
frame_00301.png,1,success,111.0694
frame_00302.png,1,success,102.7935
frame_00303.png,1,success,109.1049
frame_00305.png,1,success,99.3206
frame_00304.png,1,success,102.4528
frame_00306.png,1,success,91.9518
frame_00308.png,1,success,92.0729
frame_00307.png,1,success,91.8322
frame_00309.png,1,success,91.9814
frame_00310.png,1,success,100.136
frame_00311.png,1,success,103.8141
frame_00312.png,1,success,103.848
frame_00314.png,1,success,114.9261
frame_00313.png,1,success,107.6076
frame_00316.png,1,success,102.9977
frame_00317.png,1,success,88.2695
frame_00315.png,1,success,107.2734
frame_00320.png,1,success,87.9629
frame_00318.png,1,success,87.9004
frame_00319.png,1,success,87.9576
frame_00323.png,1,success,87.9829
frame_00322.png,1,success,88.136
frame_00321.png,1,success,88.0365
frame_00326.png,1,success,95.285
frame_00325.png,1,success,95.3582
frame_00324.png,1,success,91.7907
frame_00329.png,1,success,110.8801
frame_00328.png,1,success,98.9908
frame_00327.png,1,success,95.0056
frame_00330.png,1,success,99.5553
frame_00331.png,1,success,99.4918
frame_00332.png,1,success,95.8356
frame_00333.png,1,success,95.6734
frame_00335.png,1,success,92.0115
frame_00334.png,1,success,91.8086
frame_00336.png,1,success,91.6917
frame_00338.png,1,success,99.526
frame_00337.png,1,success,95.9629
frame_00339.png,1,success,99.6247
frame_00340.png,1,success,103.4919
frame_00341.png,1,success,103.3513
frame_00342.png,1,success,99.0647
frame_00344.png,1,success,99.3977
frame_00343.png,1,success,102.9455
frame_00347.png,1,success,99.2753
frame_00345.png,1,success,103.1375
frame_00346.png,1,success,95.4089
frame_00349.png,1,success,99.4731
frame_00350.png,1,success,88.0746
frame_00348.png,1,success,99.1465
frame_00353.png,1,success,87.8175
frame_00351.png,1,success,88.0385
frame_00352.png,1,success,87.8956
frame_00354.png,1,success,87.6903
frame_00356.png,1,success,91.4139
frame_00355.png,1,success,87.4855
frame_00358.png,1,success,87.6321
frame_00357.png,1,success,95.3725
frame_00359.png,1,success,107.0464
frame_00362.png,1,success,91.8048
frame_00361.png,1,success,91.8414
frame_00360.png,1,success,95.8411
frame_00364.png,1,success,88.0728
